array_index,case_id,study_family,group_dir,physical_case,mesh_name,Nx,Ny,velocity_m_per_s,stiffness_class,A,beta,Ta,threads,core_label,status,run_dir,launcher_wall_seconds,exit_code,summary_case_id,solver,summary_threads,summary_Nx,summary_Ny,cells,level0_Nx,level0_Ny,rmt_smoothing_sweeps,rmt_max_cycles,final_time_s,time_steps,vFuel_m_per_s,vOx_m_per_s,summary_A,summary_beta,Ta_K,HfF_J_per_kg,rho_kg_per_m3,mu_Pa_s,cp_J_per_kgK,Pr,Sc,compute_time_s,pressure_time_s,pressure_fraction_pct,output_time_s,total_wall_s,pressure_solves,total_rmt_cycles,avg_rmt_cycles_per_pressure_solve,max_rmt_cycles_per_pressure_solve,mean_pressure_convergence_factor,final_pressure_cycles,final_pressure_rhs_norm,final_pressure_initial_residual,final_pressure_abs_residual,final_pressure_rel_residual,final_pressure_convergence_factor,equivalent_fine_grid_smoothing_sweeps,equivalent_fine_grid_smoothing_sweeps_per_pressure_solve,mass_residual_max,mass_residual_l2,mass_residual_integral,Tmin_K,Tmax_K,pmin_Pa,pmax_Pa,umin_m_per_s,umax_m_per_s,vmin_m_per_s,vmax_m_per_s,YFmax,YOmax,YPmax,YN2max,diag_levelsX,diag_levelsY,diag_direct_solves,diag_direct_unknowns,diag_lu_factorizations,diag_nonmonotone_cycles,diag_last_cycle_ratio,diag_max_cycle_ratio,diag_point_updates
20,FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C1,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M2_216x72,216,72,0.1,nominal_chemistry,10000000,5,1000,1,C1,missing,results/FLOW/BC2_NOMINAL_v010/M2_216x72/C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C2,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M2_216x72,216,72,0.1,nominal_chemistry,10000000,5,1000,2,C2,missing,results/FLOW/BC2_NOMINAL_v010/M2_216x72/C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C4,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M2_216x72,216,72,0.1,nominal_chemistry,10000000,5,1000,4,C4,missing,results/FLOW/BC2_NOMINAL_v010/M2_216x72/C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,FLOW_INTENSITY__BC2_NOMINAL_v010__M2_216x72__C16,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M2_216x72,216,72,0.1,nominal_chemistry,10000000,5,1000,16,C16,missing,results/FLOW/BC2_NOMINAL_v010/M2_216x72/C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,FLOW_INTENSITY__BC2_NOMINAL_v010__M3_432x144__C1,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M3_432x144,432,144,0.1,nominal_chemistry,10000000,5,1000,1,C1,missing,results/FLOW/BC2_NOMINAL_v010/M3_432x144/C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FLOW_INTENSITY__BC2_NOMINAL_v010__M3_432x144__C2,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M3_432x144,432,144,0.1,nominal_chemistry,10000000,5,1000,2,C2,missing,results/FLOW/BC2_NOMINAL_v010/M3_432x144/C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FLOW_INTENSITY__BC2_NOMINAL_v010__M3_432x144__C4,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M3_432x144,432,144,0.1,nominal_chemistry,10000000,5,1000,4,C4,missing,results/FLOW/BC2_NOMINAL_v010/M3_432x144/C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,FLOW_INTENSITY__BC2_NOMINAL_v010__M3_432x144__C16,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M3_432x144,432,144,0.1,nominal_chemistry,10000000,5,1000,16,C16,missing,results/FLOW/BC2_NOMINAL_v010/M3_432x144/C16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FLOW_INTENSITY__BC2_NOMINAL_v010__M4_864x288__C1,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M4_864x288,864,288,0.1,nominal_chemistry,10000000,5,1000,1,C1,missing,results/FLOW/BC2_NOMINAL_v010/M4_864x288/C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,FLOW_INTENSITY__BC2_NOMINAL_v010__M4_864x288__C2,FLOW_INTENSITY,FLOW,BC2_NOMINAL_v010,M4_864x288,864,288,0.1,nominal_chemistry,10000000,5,1000,2,C2,missing,results/FLOW/BC2_NOMINAL_v010/M4_864x288/C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
