case_id,relative_path,study_family,physical_case,case_label,inlet_speed_m_per_s,stiffness_class,A,beta,Ta_K,fuel_Hf_J_per_kg,mesh_name,Nx,Ny,cells,nprocs,x_left_cells,slot_cells,x_right_cells,status,node,solver_exit_code,openfoam_version,mpi_library,solver_wall_s,setup_wall_s,reconstruct_wall_s,total_case_wall_s,final_time,foam_execution_s,foam_clock_s,final_maxCo
FLOW_INTENSITY__BC2_NOMINAL_v010__M3_432x144__C1,cases/FLOW/BC2_NOMINAL_v010/M3_432x144/C1,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,1,196,40,196,complete,orfoz192,0,v2312,INTELMPI,14294.259118336,0.988069888,0.007109888,14295.390735872,2,14241.68,14284,0.05000026188
FLOW_INTENSITY__BC2_NOMINAL_v010__M3_432x144__C2,cases/FLOW/BC2_NOMINAL_v010/M3_432x144/C2,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,2,196,40,196,complete,orfoz192,0,v2312,INTELMPI,7406.334173184,3.741112320,2.551221248,7412.765613312,2,7373.18,7395,0.05000026188
FLOW_INTENSITY__BC2_NOMINAL_v010__M3_432x144__C4,cases/FLOW/BC2_NOMINAL_v010/M3_432x144/C4,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,4,196,40,196,complete,orfoz192,0,v2312,INTELMPI,4191.894027776,3.184678912,3.162504960,4198.386440448,2,4164.1,4179,0.05000026187
FLOW_INTENSITY__BC2_NOMINAL_v010__M3_432x144__C16,cases/FLOW/BC2_NOMINAL_v010/M3_432x144/C16,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M3_432x144,432,144,62208,16,196,40,196,complete,orfoz192,0,v2312,INTELMPI,2676.013993216,2.134561280,0.905614592,2679.166007808,2,2656.79,2665,0.05000026187
FLOW_INTENSITY__BC2_NOMINAL_v010__M4_864x288__C1,cases/FLOW/BC2_NOMINAL_v010/M4_864x288/C1,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,1,392,80,392,complete,orfoz280,0,v2312,INTELMPI,123414.838225408,14.096979456,0.007191808,123429.131286528,2,123012.97,123398,0.05000045802
FLOW_INTENSITY__BC2_NOMINAL_v010__M4_864x288__C2,cases/FLOW/BC2_NOMINAL_v010/M4_864x288/C2,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,2,392,80,392,complete,orfoz280,0,v2312,INTELMPI,61006.056128512,6.589675776,3.447812352,61016.309729792,2,60774.91,60996,0.050000458
FLOW_INTENSITY__BC2_NOMINAL_v010__M4_864x288__C4,cases/FLOW/BC2_NOMINAL_v010/M4_864x288/C4,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,4,392,80,392,complete,orfoz280,0,v2312,INTELMPI,30793.800999680,4.432226048,3.525035008,30801.946586368,2,30672.35,30782,0.05000045784
FLOW_INTENSITY__BC2_NOMINAL_v010__M4_864x288__C16,cases/FLOW/BC2_NOMINAL_v010/M4_864x288/C16,FLOW_INTENSITY,BC2_NOMINAL_v010,intermediate_flow,0.1,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M4_864x288,864,288,248832,16,392,80,392,complete,orfoz280,0,v2312,INTELMPI,10618.622471936,5.153588736,3.180904192,10627.147348480,2,10569.3,10608,0.05000045664
FLOW_INTENSITY__BC3_HIGH_v020__M1_108x36__C1,cases/FLOW/BC3_HIGH_v020/M1_108x36/C1,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,1,49,10,49,complete,orfoz192,0,v2312,INTELMPI,502.443845120,0.862530048,0.007105536,503.401183232,2,498.75,500,0.05000109669
FLOW_INTENSITY__BC3_HIGH_v020__M1_108x36__C2,cases/FLOW/BC3_HIGH_v020/M1_108x36/C2,FLOW_INTENSITY,BC3_HIGH_v020,high_flow,0.2,nominal_chemistry,1.0e7,5,1000,3.571428571e6,M1_108x36,108,36,3888,2,49,10,49,complete,orfoz192,0,v2312,INTELMPI,386.053003264,0.523092736,0.126395648,386.795555072,2,380.2,382,0.05000109667
